ArtistName,SourceId,ExpectedMbid,ChosenMbid,Decision,Correct,Confidence,Margin,ApiCalls,ElapsedMs,Error
Dave Brock,1e18498528ac481e9df3f32736b59e5e,f82a2991-4279-497d-a40f-2c50a182fa37,f82a2991-4279-497d-a40f-2c50a182fa37,needs_review,True,0.9707,3.5000,6,762,
Dave Brotholomew,b14ea927379442148980025545c24e7f,,,needs_review,,0.0000,0.0000,6,604,
Dave Brubeck,9af78e122fb0422f9045a2b3861ad439,de0222a6-e1c4-403d-8b01-3f66d505061b,de0222a6-e1c4-403d-8b01-3f66d505061b,needs_review,True,0.9707,3.5000,5,545,
Dave Bush,e5547d39a19f4ec89249b64480702ce2,33d623fa-cbe8-4bc0-858f-b58fe39ab282,33d623fa-cbe8-4bc0-858f-b58fe39ab282,needs_review,True,0.9707,3.5000,5,465,
Dave Catching,9feb40b393e8479abadbc4778d3ac48e,bd5dfc5f-e2fe-454f-8836-68088a96e442,bd5dfc5f-e2fe-454f-8836-68088a96e442,needs_review,True,0.9707,3.5000,4,466,
Dave Clark,33d79bf7e7e2405cb2b08a12f8d1ffe0,e398c941-3020-4492-9629-19d52fc5d456,6da6a053-618f-4f17-aea1-c8075bd8cc2d,needs_review,False,0.9707,3.5000,3,303,
Dave Cobb,aef5f01c622f41f8a69a40fed60a29ed,dec49112-1d81-4424-a9cf-9c43a8460018,dec49112-1d81-4424-a9cf-9c43a8460018,needs_review,True,0.9707,3.5000,6,629,
Dave Cochrane,079b1149a484434c8dfd99d5f70860bc,460c476e-cc47-459f-b2f7-9624820987f7,0bdd4dbb-eaf6-43a9-a000-1a129d725978,needs_review,False,0.9707,3.5000,5,614,
Dave Colquhoun,34f3789e6f284231821f1166c590925f,4fb38f1b-dd84-4b1c-9e92-41d16466f29e,4fb38f1b-dd84-4b1c-9e92-41d16466f29e,needs_review,True,0.9707,3.5000,4,424,
Dave Crawford,7970837d9848428a868dd2afa28e373a,4fcf8826-5d18-4433-9545-dd5bb1433bd1,4fcf8826-5d18-4433-9545-dd5bb1433bd1,needs_review,True,0.9707,3.5000,6,623,
Dave Curly Williams,893398c00b5e4ff18607822ad2d8f919,29a730ba-f985-47cb-867a-c48466514ca8,29a730ba-f985-47cb-867a-c48466514ca8,needs_review,True,0.8581,1.8000,5,483,
Dave Curtiss,f2e30089095840eaa4961dbeabfe3083,48aab87c-61ea-4cdb-aff2-f69ec78ab0ae,48aab87c-61ea-4cdb-aff2-f69ec78ab0ae,needs_review,True,0.9707,3.5000,9,727,
Dave Davies,5ae3695fdf2247e9b1684f7b369925be,65710ace-d0ea-45eb-afb7-291e6b13bee5,65710ace-d0ea-45eb-afb7-291e6b13bee5,needs_review,True,0.8581,1.8000,29,3292,
Dave Day,3caeb78aa5be4e929f1ee4880bccf8b3,c3285527-adee-4d5b-a3f6-c8af27f36209,c3285527-adee-4d5b-a3f6-c8af27f36209,needs_review,True,0.9707,3.5000,5,516,
"Dave Dee, Dozy, Beaky, Mick & Tich",6bf6cf44680943b296102316bde09850,dbd34abc-6c52-4850-bf73-7abaa146b621,dbd34abc-6c52-4850-bf73-7abaa146b621,needs_review,True,0.9707,3.5000,3,315,
Dave Dobbyn,fd56e8e61a7240788405acea30da319e,47f67b22-affe-4fe1-9d25-853d69bc0ee3,47f67b22-affe-4fe1-9d25-853d69bc0ee3,needs_review,True,0.8581,1.8000,5,588,
Dave Dresden,332e23121b674042853b9ffb008d01f1,e2e9ce13-8a45-4a4e-9c13-a4f340669bdc,e2e9ce13-8a45-4a4e-9c13-a4f340669bdc,needs_review,True,0.9707,3.5000,4,481,
Dave Dreyer,6e01260325824df9b89e851206fe804b,cd5948dc-9901-4ea4-84ab-6db86987ed48,cd5948dc-9901-4ea4-84ab-6db86987ed48,needs_review,True,0.9707,3.5000,4,552,
Dave Dudley,90bebf5ded564b50acfdd31ba8f22c66,2439e604-b15b-40ad-bfaf-ea7c3f5a6fca,2439e604-b15b-40ad-bfaf-ea7c3f5a6fca,needs_review,True,0.9707,3.5000,3,259,
Dave Edmunds,5180192a1d45417481fecdd1f31a8516,ec4b6d29-527c-4cc0-89bb-8a4775f350d0,ec4b6d29-527c-4cc0-89bb-8a4775f350d0,needs_review,True,0.9707,3.5000,3,448,
Dave Farrell,410071d5aafb4e7c8990732768aafff2,c8975bbf-2778-47ae-accf-c584e644450d,,needs_review,False,0.0000,0.0000,16,1578,
Dave Faulkner,9c25312cd69740a4bbbc9ff9a5f5a5e1,eed3b4aa-2139-4d45-aac5-f7af9ae05ac8,eed3b4aa-2139-4d45-aac5-f7af9ae05ac8,needs_review,True,0.9707,3.5000,4,425,
Dave Formula,7965a0a331e2434a913bd3e86858651a,5a9330c6-8ef1-42af-8b7a-c2d5a0272682,5a9330c6-8ef1-42af-8b7a-c2d5a0272682,needs_review,True,0.9707,3.5000,5,507,
Dave Fridmann,8262cea150fd41c491c7ff3ceedc058b,6b09687f-72de-4337-9a0b-da8f6248ce7c,6b09687f-72de-4337-9a0b-da8f6248ce7c,needs_review,True,0.9707,3.5000,4,484,
Dave Gahan,64c535b8ddd74f51ae4a699f6df93dd4,d547b148-cf1f-421b-9464-ce7411ba44b8,d547b148-cf1f-421b-9464-ce7411ba44b8,needs_review,True,0.9707,3.5000,4,429,
Dave Gibson,bced953c3b56495d8dd106d192fc50b6,e647ccab-965a-4b54-89f8-bcc6db16d076,e647ccab-965a-4b54-89f8-bcc6db16d076,needs_review,True,0.9707,3.5000,8,792,
